id	responses
92	45
88	39
528	33
256	28
286	27
91	24
207	24
288	24
90	22
109	20
255	20
439	20
583	20
82	18
262	18
492	18
582	18
585	18
29	17
107	17
122	17
205	17
206	17
247	17
263	17
301	17
331	17
495	17
609	17
208	16
467	16
508	16
557	16
257	15
289	15
438	15
627	15
179	14
278	14
310	14
315	14
329	14
349	14
373	14
431	14
457	14
591	14
596	14
606	14
106	13
186	13
284	13
285	13
445	13
526	13
544	13
633	13
31	12
42	12
79	12
112	12
130	12
170	12
194	12
202	12
291	12
302	12
387	12
412	12
598	12
649	12
14	11
40	11
87	11
135	11
159	11
280	11
364	11
402	11
479	11
505	11
529	11
554	11
626	11
39	10
54	10
89	10
93	10
105	10
114	10
140	10
213	10
254	10
332	10
336	10
355	10
393	10
399	10
422	10
453	10
535	10
560	10
580	10
581	10
632	10
18	9
74	9
98	9
108	9
113	9
128	9
129	9
141	9
147	9
151	9
157	9
181	9
203	9
228	9
298	9
319	9
322	9
324	9
333	9
370	9
386	9
388	9
409	9
454	9
459	9
473	9
512	9
531	9
561	9
567	9
569	9
573	9
630	9
643	9
6	8
27	8
43	8
49	8
73	8
111	8
123	8
209	8
227	8
242	8
249	8
265	8
353	8
374	8
376	8
408	8
419	8
429	8
434	8
437	8
448	8
460	8
480	8
486	8
501	8
502	8
520	8
522	8
555	8
556	8
570	8
575	8
577	8
584	8
601	8
631	8
640	8
16	7
32	7
47	7
133	7
155	7
180	7
182	7
184	7
193	7
215	7
217	7
221	7
222	7
240	7
268	7
282	7
283	7
293	7
312	7
314	7
323	7
341	7
345	7
350	7
352	7
354	7
369	7
381	7
405	7
406	7
426	7
469	7
478	7
483	7
494	7
545	7
562	7
576	7
586	7
589	7
605	7
615	7
646	7
650	7
3	6
4	6
10	6
13	6
34	6
36	6
41	6
44	6
80	6
85	6
115	6
136	6
139	6
149	6
163	6
166	6
191	6
197	6
200	6
214	6
216	6
264	6
267	6
272	6
275	6
299	6
307	6
309	6
313	6
335	6
337	6
368	6
371	6
375	6
396	6
411	6
418	6
428	6
430	6
451	6
462	6
491	6
496	6
499	6
509	6
534	6
539	6
540	6
571	6
612	6
616	6
621	6
634	6
641	6
644	6
2	5
9	5
11	5
12	5
15	5
20	5
23	5
37	5
59	5
62	5
63	5
66	5
69	5
83	5
94	5
97	5
103	5
119	5
124	5
131	5
132	5
148	5
153	5
154	5
156	5
171	5
192	5
195	5
198	5
219	5
220	5
238	5
243	5
244	5
245	5
248	5
250	5
258	5
270	5
271	5
274	5
287	5
294	5
305	5
320	5
327	5
339	5
343	5
348	5
356	5
357	5
366	5
385	5
397	5
398	5
423	5
441	5
446	5
461	5
468	5
472	5
485	5
490	5
510	5
513	5
523	5
532	5
538	5
542	5
558	5
565	5
566	5
572	5
590	5
592	5
600	5
617	5
638	5
21	4
22	4
24	4
35	4
58	4
75	4
78	4
96	4
99	4
100	4
104	4
116	4
117	4
125	4
134	4
152	4
165	4
168	4
173	4
183	4
189	4
199	4
204	4
229	4
230	4
241	4
259	4
266	4
269	4
277	4
279	4
290	4
296	4
300	4
306	4
325	4
330	4
344	4
363	4
367	4
383	4
390	4
401	4
404	4
410	4
415	4
421	4
458	4
465	4
471	4
474	4
476	4
481	4
482	4
487	4
488	4
493	4
497	4
504	4
507	4
524	4
530	4
536	4
543	4
559	4
574	4
588	4
602	4
607	4
608	4
610	4
613	4
618	4
623	4
624	4
625	4
8	3
28	3
30	3
71	3
72	3
76	3
84	3
95	3
102	3
121	3
126	3
137	3
138	3
142	3
143	3
150	3
158	3
160	3
164	3
172	3
175	3
176	3
185	3
187	3
196	3
201	3
212	3
218	3
226	3
231	3
233	3
235	3
239	3
246	3
252	3
260	3
273	3
295	3
326	3
342	3
346	3
360	3
361	3
362	3
372	3
377	3
379	3
391	3
403	3
407	3
413	3
416	3
425	3
427	3
436	3
440	3
444	3
447	3
449	3
450	3
452	3
455	3
456	3
484	3
500	3
515	3
516	3
517	3
519	3
521	3
525	3
541	3
551	3
564	3
568	3
578	3
599	3
628	3
629	3
637	3
647	3
5	2
7	2
17	2
33	2
46	2
53	2
56	2
57	2
64	2
77	2
81	2
86	2
101	2
110	2
127	2
144	2
145	2
161	2
162	2
167	2
169	2
178	2
210	2
223	2
224	2
232	2
234	2
236	2
253	2
261	2
276	2
281	2
292	2
297	2
308	2
317	2
321	2
328	2
334	2
340	2
347	2
351	2
378	2
384	2
389	2
394	2
420	2
424	2
432	2
433	2
435	2
442	2
443	2
463	2
470	2
475	2
477	2
498	2
527	2
547	2
548	2
549	2
550	2
552	2
593	2
595	2
604	2
611	2
622	2
645	2
648	2
1	1
19	1
25	1
26	1
45	1
48	1
52	1
60	1
61	1
65	1
67	1
68	1
118	1
120	1
188	1
211	1
225	1
237	1
251	1
303	1
316	1
318	1
338	1
358	1
359	1
382	1
395	1
400	1
414	1
417	1
464	1
489	1
506	1
511	1
514	1
518	1
533	1
553	1
579	1
594	1
597	1
614	1
619	1
635	1
636	1
639	1
38	0
50	0
51	0
55	0
70	0
146	0
174	0
177	0
190	0
304	0
311	0
365	0
380	0
392	0
466	0
503	0
537	0
546	0
563	0
587	0
603	0
620	0
642	0
